"","X","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean","state.reorder"
"3246",6,4,1,0,0,"Non-communicable","White","Male","California",1969,"Pacific","West","CA",111.225347518101,113.577334767541,116.010826863337,113.577334767541,"California"
"3247",7,4,1,0,1,"All other causes","White","Female","California",1969,"Pacific","West","CA",85.5603257081037,87.3032396990055,88.9857820809932,87.3032396990055,"California"
"3248",8,4,1,0,1,"Cancers","White","Female","California",1969,"Pacific","West","CA",159.596771601669,161.922470302225,164.046822319466,161.922470302225,"California"
"3249",9,4,1,0,1,"Cardiovascular","White","Female","California",1969,"Pacific","West","CA",544.684150327928,550.564052717257,556.278608122515,550.564052717257,"California"
"3250",10,4,1,0,1,"Communicable","White","Female","California",1969,"Pacific","West","CA",34.0631325405503,35.424328367724,36.7617926589579,35.424328367724,"California"
"3251",11,4,1,0,1,"Injuries","White","Female","California",1969,"Pacific","West","CA",59.9188719269328,61.4557812650993,62.9361517696033,61.4557812650993,"California"
"3252",12,4,1,0,1,"Non-communicable","White","Female","California",1969,"Pacific","West","CA",51.7096656846831,53.0635849763847,54.3788370029738,53.0635849763847,"California"
"3253",13,4,1,1,0,"All other causes","Black","Male","California",1969,"Pacific","West","CA",160.785351975517,169.49512367008,178.960283682587,169.49512367008,"California"
"3254",14,4,1,1,0,"Cancers","Black","Male","California",1969,"Pacific","West","CA",290.245521761704,304.25892547955,317.919635701953,304.25892547955,"California"
"3255",15,4,1,1,0,"Cardiovascular","Black","Male","California",1969,"Pacific","West","CA",743.681438969334,772.142248213875,799.524989052682,772.142248213875,"California"
"3256",16,4,1,1,0,"Communicable","Black","Male","California",1969,"Pacific","West","CA",66.4610935093234,74.6330198577907,83.537025563962,74.6330198577907,"California"
"3257",17,4,1,1,0,"Injuries","Black","Male","California",1969,"Pacific","West","CA",193.124758730043,201.955917156511,211.632772094571,201.955917156511,"California"
"3258",18,4,1,1,0,"Non-communicable","Black","Male","California",1969,"Pacific","West","CA",122.260373957852,129.849752663351,138.120456857433,129.849752663351,"California"
"3259",19,4,1,1,1,"All other causes","Black","Female","California",1969,"Pacific","West","CA",118.494369641369,124.574172809332,130.956442231761,124.574172809332,"California"
"3260",20,4,1,1,1,"Cancers","Black","Female","California",1969,"Pacific","West","CA",170.402807915701,177.916983791848,184.958158190477,177.916983791848,"California"
"3261",21,4,1,1,1,"Cardiovascular","Black","Female","California",1969,"Pacific","West","CA",590.964151462939,613.189537512057,637.260023102033,613.189537512057,"California"
"3262",22,4,1,1,1,"Communicable","Black","Female","California",1969,"Pacific","West","CA",38.8945001585932,43.7124262058216,49.010257053796,43.7124262058216,"California"
"3263",23,4,1,1,1,"Injuries","Black","Female","California",1969,"Pacific","West","CA",58.5947215739675,62.8177105340221,67.1617489321624,62.8177105340221,"California"
"3264",24,4,1,1,1,"Non-communicable","Black","Female","California",1969,"Pacific","West","CA",78.8519968459194,84.2766427925574,89.6814133139368,84.2766427925574,"California"
"3265",25,4,2,0,0,"All other causes","White","Male","California",1970,"Pacific","West","CA",113.506147438332,115.80658102889,118.244975012451,115.80658102889,"California"
"3266",26,4,2,0,0,"Cancers","White","Male","California",1970,"Pacific","West","CA",240.294557871265,243.342535578942,246.532372676953,243.342535578942,"California"
"3267",27,4,2,0,0,"Cardiovascular","White","Male","California",1970,"Pacific","West","CA",810.858446111056,819.480735639387,827.072096398454,819.480735639387,"California"
"3268",28,4,2,0,0,"Communicable","White","Male","California",1970,"Pacific","West","CA",50.830016852239,52.9458438441955,55.0131226395421,52.9458438441955,"California"
"3269",29,4,2,0,0,"Injuries","White","Male","California",1970,"Pacific","West","CA",123.761537153527,125.926384654755,127.944680398269,125.926384654755,"California"
"3270",30,4,2,0,0,"Non-communicable","White","Male","California",1970,"Pacific","West","CA",112.123614038406,114.226712610021,116.181426919991,114.226712610021,"California"
"3271",31,4,2,0,1,"All other causes","White","Female","California",1970,"Pacific","West","CA",83.265490747996,84.7629847687618,86.2312821023779,84.7629847687618,"California"
"3272",32,4,2,0,1,"Cancers","White","Female","California",1970,"Pacific","West","CA",161.672389127435,163.702638376899,165.836541200156,163.702638376899,"California"
"3273",33,4,2,0,1,"Cardiovascular","White","Female","California",1970,"Pacific","West","CA",527.129930810131,532.577830866414,537.937084194977,532.577830866414,"California"
"3274",34,4,2,0,1,"Communicable","White","Female","California",1970,"Pacific","West","CA",30.2971152718028,31.4810459535664,32.5754755353401,31.4810459535664,"California"
"3275",35,4,2,0,1,"Injuries","White","Female","California",1970,"Pacific","West","CA",58.7371216921742,59.9443712833188,61.1825115219531,59.9443712833188,"California"
"3276",36,4,2,0,1,"Non-communicable","White","Female","California",1970,"Pacific","West","CA",50.9715268463055,52.1605676711977,53.3490382822212,52.1605676711977,"California"
"3277",37,4,2,1,0,"All other causes","Black","Male","California",1970,"Pacific","West","CA",161.117444063011,168.195385418118,176.556883554286,168.195385418118,"California"
"3278",38,4,2,1,0,"Cancers","Black","Male","California",1970,"Pacific","West","CA",293.766013450286,305.838769950242,317.629390850129,305.838769950242,"California"
"3279",39,4,2,1,0,"Cardiovascular","Black","Male","California",1970,"Pacific","West","CA",744.748610868283,768.446679526499,793.630805360961,768.446679526499,"California"
"3280",40,4,2,1,0,"Communicable","Black","Male","California",1970,"Pacific","West","CA",62.9049257348738,69.411649852657,77.1332391416518,69.411649852657,"California"
"3281",41,4,2,1,0,"Injuries","Black","Male","California",1970,"Pacific","West","CA",187.228511330803,195.245158855546,203.383989070417,195.245158855546,"California"
"3282",42,4,2,1,0,"Non-communicable","Black","Male","California",1970,"Pacific","West","CA",124.884082058368,131.704742700194,139.001652612337,131.704742700194,"California"
"3283",43,4,2,1,1,"All other causes","Black","Female","California",1970,"Pacific","West","CA",117.400526757056,122.694196039596,128.280612155858,122.694196039596,"California"
"3284",44,4,2,1,1,"Cancers","Black","Female","California",1970,"Pacific","West","CA",172.144339740437,178.098721976014,184.701694209303,178.098721976014,"California"
"3285",45,4,2,1,1,"Cardiovascular","Black","Female","California",1970,"Pacific","West","CA",586.441448490972,605.600074360761,624.540926308116,605.600074360761,"California"
"3286",46,4,2,1,1,"Communicable","Black","Female","California",1970,"Pacific","West","CA",36.4496398211033,40.5929917319427,45.3531538988485,40.5929917319427,"California"
"3287",47,4,2,1,1,"Injuries","Black","Female","California",1970,"Pacific","West","CA",59.2410271696532,63.0109870200254,66.7102030895153,63.0109870200254,"California"
"3288",48,4,2,1,1,"Non-communicable","Black","Female","California",1970,"Pacific","West","CA",78.464795931226,83.5835681336059,88.0971739695972,83.5835681336059,"California"
"3289",49,4,3,0,0,"All other causes","White","Male","California",1971,"Pacific","West","CA",108.620362252761,110.798473667792,113.094292509758,110.798473667792,"California"
"3290",50,4,3,0,0,"Cancers","White","Male","California",1971,"Pacific","West","CA",241.774863397629,244.811556153239,248.114843482997,244.811556153239,"California"
"3291",51,4,3,0,0,"Cardiovascular","White","Male","California",1971,"Pacific","West","CA",808.301648336419,816.47663148404,824.729708118503,816.47663148404,"California"
"3292",52,4,3,0,0,"Communicable","White","Male","California",1971,"Pacific","West","CA",50.7906033506444,52.8358683314671,55.0224181647144,52.8358683314671,"California"
"3293",53,4,3,0,0,"Injuries","White","Male","California",1971,"Pacific","West","CA",121.04265185175,122.964994051494,124.856965864841,122.964994051494,"California"
"3294",54,4,3,0,0,"Non-communicable","White","Male","California",1971,"Pacific","West","CA",112.686078900763,114.837573689761,116.917350193117,114.837573689761,"California"
"3295",55,4,3,0,1,"All other causes","White","Female","California",1971,"Pacific","West","CA",79.6568768625329,81.2373933688673,82.8992575621504,81.2373933688673,"California"
"3296",56,4,3,0,1,"Cancers","White","Female","California",1971,"Pacific","West","CA",162.140151008024,164.266210383094,166.362744470608,164.266210383094,"California"
"3297",57,4,3,0,1,"Cardiovascular","White","Female","California",1971,"Pacific","West","CA",525.000062699758,529.622620419977,534.958819942531,529.622620419977,"California"
"3298",58,4,3,0,1,"Communicable","White","Female","California",1971,"Pacific","West","CA",30.95750260371,32.0526361940422,33.2784593486383,32.0526361940422,"California"
"3299",59,4,3,0,1,"Injuries","White","Female","California",1971,"Pacific","West","CA",57.1665313853174,58.3880675768279,59.6285283503782,58.3880675768279,"California"
"3300",60,4,3,0,1,"Non-communicable","White","Female","California",1971,"Pacific","West","CA",50.6650856323529,51.8312406236765,52.9326478726445,51.8312406236765,"California"
"3301",61,4,3,1,0,"All other causes","Black","Male","California",1971,"Pacific","West","CA",155.045417392688,162.250340294422,169.43987028623,162.250340294422,"California"
"3302",62,4,3,1,0,"Cancers","Black","Male","California",1971,"Pacific","West","CA",292.849940130394,304.110231782278,316.403549370844,304.110231782278,"California"
"3303",63,4,3,1,0,"Cardiovascular","Black","Male","California",1971,"Pacific","West","CA",746.279600745484,770.211404363453,794.402808184531,770.211404363453,"California"
"3304",64,4,3,1,0,"Communicable","Black","Male","California",1971,"Pacific","West","CA",60.3645373115649,66.2174969574669,73.3333724473082,66.2174969574669,"California"
"3305",65,4,3,1,0,"Injuries","Black","Male","California",1971,"Pacific","West","CA",190.095593715503,197.702492274064,205.926707555106,197.702492274064,"California"
"3306",66,4,3,1,0,"Non-communicable","Black","Male","California",1971,"Pacific","West","CA",125.113939332606,131.434504767751,138.234394326655,131.434504767751,"California"
"3307",67,4,3,1,1,"All other causes","Black","Female","California",1971,"Pacific","West","CA",114.656615358234,119.455915168264,124.905995696643,119.455915168264,"California"
"3308",68,4,3,1,1,"Cancers","Black","Female","California",1971,"Pacific","West","CA",172.494525756827,178.462279395643,184.356809922792,178.462279395643,"California"
"3309",69,4,3,1,1,"Cardiovascular","Black","Female","California",1971,"Pacific","West","CA",569.698704854662,588.873135795375,607.835892117262,588.873135795375,"California"
"3310",70,4,3,1,1,"Communicable","Black","Female","California",1971,"Pacific","West","CA",34.850587243462,38.1911224033564,42.4245353807485,38.1911224033564,"California"
"3311",71,4,3,1,1,"Injuries","Black","Female","California",1971,"Pacific","West","CA",59.6863623834637,63.3090357665231,66.7032521000717,63.3090357665231,"California"
"3312",72,4,3,1,1,"Non-communicable","Black","Female","California",1971,"Pacific","West","CA",78.1721377434911,82.6608756728086,86.829835434743,82.6608756728086,"California"
"3313",73,4,4,0,0,"All other causes","White","Male","California",1972,"Pacific","West","CA",106.653159612146,108.818287780019,111.103059743047,108.818287780019,"California"
"3314",74,4,4,0,0,"Cancers","White","Male","California",1972,"Pacific","West","CA",245.476268768017,248.612158611977,251.782967013795,248.612158611977,"California"
"3315",75,4,4,0,0,"Cardiovascular","White","Male","California",1972,"Pacific","West","CA",607.444315062577,613.8031206766,621.086952016094,613.8031206766,"California"
"3316",76,4,4,0,0,"Communicable","White","Male","California",1972,"Pacific","West","CA",48.8108932644314,50.7372196940855,52.5838465695663,50.7372196940855,"California"
"3317",77,4,4,0,0,"Injuries","White","Male","California",1972,"Pacific","West","CA",121.865465818234,124.015731593642,126.027017025448,124.015731593642,"California"
"3318",78,4,4,0,0,"Non-communicable","White","Male","California",1972,"Pacific","West","CA",111.978902407199,114.049389392622,116.236303970893,114.049389392622,"California"
"3319",79,4,4,0,1,"All other causes","White","Female","California",1972,"Pacific","West","CA",78.0289576388903,79.4665788318798,80.9472482391209,79.4665788318798,"California"
"3320",80,4,4,0,1,"Cancers","White","Female","California",1972,"Pacific","West","CA",160.835962517849,162.936101617883,164.936252498933,162.936101617883,"California"
"3321",81,4,4,0,1,"Cardiovascular","White","Female","California",1972,"Pacific","West","CA",510.846983515838,515.741046905348,520.605901012317,515.741046905348,"California"
"3322",82,4,4,0,1,"Communicable","White","Female","California",1972,"Pacific","West","CA",30.9383115770951,32.0073924706553,33.1274243121988,32.0073924706553,"California"
"3323",83,4,4,0,1,"Injuries","White","Female","California",1972,"Pacific","West","CA",54.6270122543878,55.8048924586854,57.0420661623864,55.8048924586854,"California"
"3324",84,4,4,0,1,"Non-communicable","White","Female","California",1972,"Pacific","West","CA",50.8295366000655,51.9677382845914,53.1731385953119,51.9677382845914,"California"
"3325",85,4,4,1,0,"All other causes","Black","Male","California",1972,"Pacific","West","CA",153.467450306298,160.171448054185,166.932161715158,160.171448054185,"California"
"3326",86,4,4,1,0,"Cancers","Black","Male","California",1972,"Pacific","West","CA",296.699938916349,307.912310903579,319.224570926202,307.912310903579,"California"
"3327",87,4,4,1,0,"Cardiovascular","Black","Male","California",1972,"Pacific","West","CA",744.765932302776,769.036462928565,791.830271675425,769.036462928565,"California"
"3328",88,4,4,1,0,"Communicable","Black","Male","California",1972,"Pacific","West","CA",57.8502596104342,63.9638620562378,69.9788368579134,63.9638620562378,"California"
"3329",89,4,4,1,0,"Injuries","Black","Male","California",1972,"Pacific","West","CA",184.85552642111,192.472873029335,199.430252017838,192.472873029335,"California"
"3330",90,4,4,1,0,"Non-communicable","Black","Male","California",1972,"Pacific","West","CA",125.117604072799,131.224419361874,137.823044612171,131.224419361874,"California"
"3331",91,4,4,1,1,"All other causes","Black","Female","California",1972,"Pacific","West","CA",113.027780080053,117.634980292092,122.431965563283,117.634980292092,"California"
"3332",92,4,4,1,1,"Cancers","Black","Female","California",1972,"Pacific","West","CA",172.691956526093,178.696339173927,184.430916803864,178.696339173927,"California"
"3333",93,4,4,1,1,"Cardiovascular","Black","Female","California",1972,"Pacific","West","CA",563.666708907875,582.698054333675,601.712032480366,582.698054333675,"California"
"3334",94,4,4,1,1,"Communicable","Black","Female","California",1972,"Pacific","West","CA",34.0201741647721,37.7243721784586,41.4781095600067,37.7243721784586,"California"
"3335",95,4,4,1,1,"Injuries","Black","Female","California",1972,"Pacific","West","CA",59.4949985003186,62.7163341518715,66.1575070865305,62.7163341518715,"California"
"3336",96,4,4,1,1,"Non-communicable","Black","Female","California",1972,"Pacific","West","CA",77.0567781732045,81.4239258685078,85.4995064764028,81.4239258685078,"California"
"3337",97,4,5,0,0,"All other causes","White","Male","California",1973,"Pacific","West","CA",104.547960502914,106.792575884858,109.241921961004,106.792575884858,"California"
"3338",98,4,5,0,0,"Cancers","White","Male","California",1973,"Pacific","West","CA",243.861506854638,247.274898316003,250.771585046819,247.274898316003,"California"
"3339",99,4,5,0,0,"Cardiovascular","White","Male","California",1973,"Pacific","West","CA",784.59409156243,792.48007998377,800.821743690136,792.48007998377,"California"
"3340",100,4,5,0,0,"Communicable","White","Male","California",1973,"Pacific","West","CA",53.489406374773,55.6322156530938,57.6659113036309,55.6322156530938,"California"
"3341",101,4,5,0,0,"Injuries","White","Male","California",1973,"Pacific","West","CA",118.928119873663,120.856602993889,122.775420809506,120.856602993889,"California"
"3342",102,4,5,0,0,"Non-communicable","White","Male","California",1973,"Pacific","West","CA",111.021365485758,113.044109751555,115.131768151003,113.044109751555,"California"
"3343",103,4,5,0,1,"All other causes","White","Female","California",1973,"Pacific","West","CA",75.1492154937107,76.5407736963687,77.8855482179795,76.5407736963687,"California"
"3344",104,4,5,0,1,"Cancers","White","Female","California",1973,"Pacific","West","CA",160.787749910727,162.754744273923,164.824529821348,162.754744273923,"California"
"3345",105,4,5,0,1,"Cardiovascular","White","Female","California",1973,"Pacific","West","CA",505.905491914905,510.949440922319,515.592173805135,510.949440922319,"California"
"3346",106,4,5,0,1,"Communicable","White","Female","California",1973,"Pacific","West","CA",34.6736453903547,35.8949283952581,37.1113314229405,35.8949283952581,"California"
"3347",107,4,5,0,1,"Injuries","White","Female","California",1973,"Pacific","West","CA",52.4649739697318,53.484430453846,54.660784356376,53.484430453846,"California"
"3348",108,4,5,0,1,"Non-communicable","White","Female","California",1973,"Pacific","West","CA",50.2922460785224,51.3660355350355,52.6337402092707,51.3660355350355,"California"
"3349",109,4,5,1,0,"All other causes","Black","Male","California",1973,"Pacific","West","CA",150.897996017881,157.840597313048,164.17983787607,157.840597313048,"California"
"3350",110,4,5,1,0,"Cancers","Black","Male","California",1973,"Pacific","West","CA",302.134598146128,312.668936465761,323.286691882348,312.668936465761,"California"
"3351",111,4,5,1,0,"Cardiovascular","Black","Male","California",1973,"Pacific","West","CA",738.857958446597,762.611795469829,787.814574817408,762.611795469829,"California"
"3352",112,4,5,1,0,"Communicable","Black","Male","California",1973,"Pacific","West","CA",57.2665620188071,63.2048217750962,69.736267978102,63.2048217750962,"California"
"3353",113,4,5,1,0,"Injuries","Black","Male","California",1973,"Pacific","West","CA",179.99153592379,187.246590665538,194.216564611632,187.246590665538,"California"
"3354",114,4,5,1,0,"Non-communicable","Black","Male","California",1973,"Pacific","West","CA",125.161994316474,131.087354209696,137.019131653265,131.087354209696,"California"
"3355",115,4,5,1,1,"All other causes","Black","Female","California",1973,"Pacific","West","CA",109.830894501896,114.053194128853,118.876957078151,114.053194128853,"California"
"3356",116,4,5,1,1,"Cancers","Black","Female","California",1973,"Pacific","West","CA",174.373427896855,179.996171562903,185.486116382997,179.996171562903,"California"
"3357",117,4,5,1,1,"Cardiovascular","Black","Female","California",1973,"Pacific","West","CA",557.88031289555,575.080803055941,593.612828460969,575.080803055941,"California"
"3358",118,4,5,1,1,"Communicable","Black","Female","California",1973,"Pacific","West","CA",32.9372249663113,36.3786527187643,40.0557327620515,36.3786527187643,"California"
"3359",119,4,5,1,1,"Injuries","Black","Female","California",1973,"Pacific","West","CA",59.2196877148284,62.3494659099576,65.6932108871823,62.3494659099576,"California"
"3360",120,4,5,1,1,"Non-communicable","Black","Female","California",1973,"Pacific","West","CA",76.9333444729893,80.7816721665469,84.8211458589968,80.7816721665469,"California"
"3361",121,4,6,0,0,"All other causes","White","Male","California",1974,"Pacific","West","CA",101.978486054338,104.167230314822,106.39022813746,104.167230314822,"California"
"3362",122,4,6,0,0,"Cancers","White","Male","California",1974,"Pacific","West","CA",249.987824088213,253.308564989228,256.713132924164,253.308564989228,"California"
"3363",123,4,6,0,0,"Cardiovascular","White","Male","California",1974,"Pacific","West","CA",753.555275404228,761.064619114924,768.672933743865,761.064619114924,"California"
"3364",124,4,6,0,0,"Communicable","White","Male","California",1974,"Pacific","West","CA",46.0335076423726,47.9283711016034,49.9200127839285,47.9283711016034,"California"
"3365",125,4,6,0,0,"Injuries","White","Male","California",1974,"Pacific","West","CA",111.898143245856,113.701018582682,115.570470903093,113.701018582682,"California"
"3366",126,4,6,0,0,"Non-communicable","White","Male","California",1974,"Pacific","West","CA",109.281552244643,111.389905623095,113.358906982596,111.389905623095,"California"
"3367",127,4,6,0,1,"All other causes","White","Female","California",1974,"Pacific","West","CA",74.0987740675597,75.4898915070899,76.9816697220391,75.4898915070899,"California"
"3368",128,4,6,0,1,"Cancers","White","Female","California",1974,"Pacific","West","CA",162.005704147001,163.996106951182,166.102054644666,163.996106951182,"California"
"3369",129,4,6,0,1,"Cardiovascular","White","Female","California",1974,"Pacific","West","CA",482.292619939861,486.666099056449,490.822953715212,486.666099056449,"California"
"3370",130,4,6,0,1,"Communicable","White","Female","California",1974,"Pacific","West","CA",27.9715985194542,29.0076611056161,30.0739409904529,29.0076611056161,"California"
"3371",131,4,6,0,1,"Injuries","White","Female","California",1974,"Pacific","West","CA",49.0524643278573,50.0835550812868,51.1296025523906,50.0835550812868,"California"
"3372",132,4,6,0,1,"Non-communicable","White","Female","California",1974,"Pacific","West","CA",49.9311866027389,50.9399306515039,52.0589052002588,50.9399306515039,"California"
"3373",133,4,6,1,0,"All other causes","Black","Male","California",1974,"Pacific","West","CA",150.130824544948,156.485468354444,162.619835091948,156.485468354444,"California"
"3374",134,4,6,1,0,"Cancers","Black","Male","California",1974,"Pacific","West","CA",307.830550602854,318.090214321048,329.104404374117,318.090214321048,"California"
"3375",135,4,6,1,0,"Cardiovascular","Black","Male","California",1974,"Pacific","West","CA",712.291685430407,734.138843444012,756.139266719087,734.138843444012,"California"
"3376",136,4,6,1,0,"Communicable","Black","Male","California",1974,"Pacific","West","CA",54.012683091067,59.5337229488489,66.3329196428001,59.5337229488489,"California"
"3377",137,4,6,1,0,"Injuries","Black","Male","California",1974,"Pacific","West","CA",180.490834009948,187.261095320405,194.670849816179,187.261095320405,"California"
"3378",138,4,6,1,0,"Non-communicable","Black","Male","California",1974,"Pacific","West","CA",123.057067495204,128.92868842702,134.849097185482,128.92868842702,"California"
"3379",139,4,6,1,1,"All other causes","Black","Female","California",1974,"Pacific","West","CA",108.980297419546,113.223543981763,118.105014572412,113.223543981763,"California"
"3380",140,4,6,1,1,"Cancers","Black","Female","California",1974,"Pacific","West","CA",176.328585923696,181.62071959071,187.10688427335,181.62071959071,"California"
"3381",141,4,6,1,1,"Cardiovascular","Black","Female","California",1974,"Pacific","West","CA",539.556112614402,556.545960888676,573.377673646789,556.545960888676,"California"
"3382",142,4,6,1,1,"Communicable","Black","Female","California",1974,"Pacific","West","CA",30.0571666434958,33.1829310562672,36.6688287464126,33.1829310562672,"California"
"3383",143,4,6,1,1,"Injuries","Black","Female","California",1974,"Pacific","West","CA",58.6066188023449,61.5544670470893,64.579237025146,61.5544670470893,"California"
"3384",144,4,6,1,1,"Non-communicable","Black","Female","California",1974,"Pacific","West","CA",74.806943983472,78.4465935151118,82.2619464836079,78.4465935151118,"California"
"3385",145,4,7,0,0,"All other causes","White","Male","California",1975,"Pacific","West","CA",100.316953839276,102.409246472946,104.552628109062,102.409246472946,"California"
"3386",146,4,7,0,0,"Cancers","White","Male","California",1975,"Pacific","West","CA",250.16093877845,253.469104676933,256.640925163905,253.469104676933,"California"
"3387",147,4,7,0,0,"Cardiovascular","White","Male","California",1975,"Pacific","West","CA",715.168046153774,722.491395716199,729.575247126137,722.491395716199,"California"
"3388",148,4,7,0,0,"Communicable","White","Male","California",1975,"Pacific","West","CA",47.7208446713941,49.5335040403921,51.5471315311249,49.5335040403921,"California"
"3389",149,4,7,0,0,"Injuries","White","Male","California",1975,"Pacific","West","CA",113.007924453594,114.987626884028,116.82048282852,114.987626884028,"California"
"3390",150,4,7,0,0,"Non-communicable","White","Male","California",1975,"Pacific","West","CA",107.705755406364,109.717097466521,111.525409213733,109.717097466521,"California"
"3391",151,4,7,0,1,"All other causes","White","Female","California",1975,"Pacific","West","CA",72.8249085550476,74.1819987714867,75.4517358197539,74.1819987714867,"California"
"3392",152,4,7,0,1,"Cancers","White","Female","California",1975,"Pacific","West","CA",164.200066617734,165.986210486027,168.037663780844,165.986210486027,"California"
"3393",153,4,7,0,1,"Cardiovascular","White","Female","California",1975,"Pacific","West","CA",451.962496733285,456.325744522402,460.656932201179,456.325744522402,"California"
"3394",154,4,7,0,1,"Communicable","White","Female","California",1975,"Pacific","West","CA",28.9767205776967,30.057751648967,31.1140184377144,30.057751648967,"California"
"3395",155,4,7,0,1,"Injuries","White","Female","California",1975,"Pacific","West","CA",47.2463958323008,48.3600909401414,49.4524882611243,48.3600909401414,"California"
"3396",156,4,7,0,1,"Non-communicable","White","Female","California",1975,"Pacific","West","CA",48.7492002946677,49.8355125161911,50.8820105978764,49.8355125161911,"California"
"3397",157,4,7,1,0,"All other causes","Black","Male","California",1975,"Pacific","West","CA",151.643427535623,157.900762953764,164.013735922807,157.900762953764,"California"
"3398",158,4,7,1,0,"Cancers","Black","Male","California",1975,"Pacific","West","CA",312.915069699954,323.929548200441,334.466811561575,323.929548200441,"California"
"3399",159,4,7,1,0,"Cardiovascular","Black","Male","California",1975,"Pacific","West","CA",683.521250900656,704.213263782828,725.637932854563,704.213263782828,"California"
"3400",160,4,7,1,0,"Communicable","Black","Male","California",1975,"Pacific","West","CA",53.403029781021,59.3094127795274,65.7691665161322,59.3094127795274,"California"
"3401",161,4,7,1,0,"Injuries","Black","Male","California",1975,"Pacific","West","CA",174.716855366105,181.267345727075,187.850376950102,181.267345727075,"California"
"3402",162,4,7,1,0,"Non-communicable","Black","Male","California",1975,"Pacific","West","CA",121.506235200474,126.85258992227,132.925477782624,126.85258992227,"California"
"3403",163,4,7,1,1,"All other causes","Black","Female","California",1975,"Pacific","West","CA",107.477340585435,111.673429316362,115.922409461938,111.673429316362,"California"
"3404",164,4,7,1,1,"Cancers","Black","Female","California",1975,"Pacific","West","CA",178.092205496034,183.115618314162,188.488820282985,183.115618314162,"California"
"3405",165,4,7,1,1,"Cardiovascular","Black","Female","California",1975,"Pacific","West","CA",513.965793090709,529.481471950682,545.676850143681,529.481471950682,"California"
"3406",166,4,7,1,1,"Communicable","Black","Female","California",1975,"Pacific","West","CA",28.5906246973532,31.5949526690524,34.89258919219,31.5949526690524,"California"
"3407",167,4,7,1,1,"Injuries","Black","Female","California",1975,"Pacific","West","CA",57.7312166762754,60.5112449912217,63.4713411450913,60.5112449912217,"California"
"3408",168,4,7,1,1,"Non-communicable","Black","Female","California",1975,"Pacific","West","CA",72.8686304239493,76.5037133917258,80.2215437274958,76.5037133917258,"California"
"3409",169,4,8,0,0,"All other causes","White","Male","California",1976,"Pacific","West","CA",97.8605442685262,99.9540587389605,102.125471978319,99.9540587389605,"California"
"3410",170,4,8,0,0,"Cancers","White","Male","California",1976,"Pacific","West","CA",252.073345572337,255.077039255402,258.313772784061,255.077039255402,"California"
"3411",171,4,8,0,0,"Cardiovascular","White","Male","California",1976,"Pacific","West","CA",688.730959825877,696.197032784161,702.958131298223,696.197032784161,"California"
"3412",172,4,8,0,0,"Communicable","White","Male","California",1976,"Pacific","West","CA",50.4851734848667,52.515607549611,54.4930678548729,52.515607549611,"California"
"3413",173,4,8,0,0,"Injuries","White","Male","California",1976,"Pacific","West","CA",109.715938484353,111.466359411572,113.160829116623,111.466359411572,"California"
"3414",174,4,8,0,0,"Non-communicable","White","Male","California",1976,"Pacific","West","CA",106.123412150629,108.025135332438,110.033851033251,108.025135332438,"California"
"3415",175,4,8,0,1,"All other causes","White","Female","California",1976,"Pacific","West","CA",71.3628025790564,72.7467066849525,74.0787518043029,72.7467066849525,"California"
"3416",176,4,8,0,1,"Cancers","White","Female","California",1976,"Pacific","West","CA",165.919224542297,167.833070665225,169.719547198369,167.833070665225,"California"
"3417",177,4,8,0,1,"Cardiovascular","White","Female","California",1976,"Pacific","West","CA",440.586826367843,444.62175354668,449.11855132294,444.62175354668,"California"
"3418",178,4,8,0,1,"Communicable","White","Female","California",1976,"Pacific","West","CA",30.5758670417515,31.589189779042,32.5690233944563,31.589189779042,"California"
"3419",179,4,8,0,1,"Injuries","White","Female","California",1976,"Pacific","West","CA",45.6170294010414,46.6076081064265,47.598553568852,46.6076081064265,"California"
"3420",180,4,8,0,1,"Non-communicable","White","Female","California",1976,"Pacific","West","CA",48.4716868870974,49.502333031909,50.6218638498098,49.502333031909,"California"
"3421",181,4,8,1,0,"All other causes","Black","Male","California",1976,"Pacific","West","CA",149.83149278819,156.031068765807,162.358725581273,156.031068765807,"California"
"3422",182,4,8,1,0,"Cancers","Black","Male","California",1976,"Pacific","West","CA",319.166653034993,329.585257403472,340.604186639754,329.585257403472,"California"
"3423",183,4,8,1,0,"Cardiovascular","Black","Male","California",1976,"Pacific","West","CA",668.111784556759,688.032015230359,708.514145699873,688.032015230359,"California"
"3424",184,4,8,1,0,"Communicable","Black","Male","California",1976,"Pacific","West","CA",57.1808895319682,63.0867155417575,69.8497339352401,63.0867155417575,"California"
"3425",185,4,8,1,0,"Injuries","Black","Male","California",1976,"Pacific","West","CA",169.475378040467,175.72955980757,182.588938789917,175.72955980757,"California"
"3426",186,4,8,1,0,"Non-communicable","Black","Male","California",1976,"Pacific","West","CA",120.578353087958,126.05915728363,131.980128940645,126.05915728363,"California"
"3427",187,4,8,1,1,"All other causes","Black","Female","California",1976,"Pacific","West","CA",105.275160371512,109.432727797908,113.895235195545,109.432727797908,"California"
"3428",188,4,8,1,1,"Cancers","Black","Female","California",1976,"Pacific","West","CA",180.262625630592,185.838068048842,191.522616347149,185.838068048842,"California"
